primary_identifier,next_month_plan
2003793,2
1776101,2
6945050,5
2472049,5
7197266,6
2099980,3
4515595,5
4155971,5
4203824,5
4397850,6
5564784,5
8042819,5
4887835,5
7876737,2
8586725,5
4192710,5
8692886,5
2734029,2
8619873,6
8591720,2
2736902,5
1302512,5
6236339,7
2515939,3
4007286,2
4189111,5
1198957,5
7630599,5
5179554,5
3849110,5
9921234,5
7846621,2
3063762,8
7230281,5
7645170,2
9834627,5
1561943,2
8159623,5
4745105,5
6238198,5
6536712,5
6835837,5
9840782,5
9817473,5
4677724,5
8757935,2
9670187,5
1530338,5
4057212,5
8766616,6
7031680,6
1491069,3
7532437,5
9660215,5
4478979,5
8803684,2
2673030,5
3225354,5
7152868,5
3179169,5
2224348,5
7604192,5
3982237,5
5566730,5
5654973,5
1776383,5
3854674,5
1919483,5
4651764,5
4474656,5
1795642,5
6065257,5
2785623,5
6818861,5
5879576,5
6302710,3
7664304,5
7612029,5
2827711,5
2466639,5
7181670,5
4657905,5
9911891,5
1812207,5
5788490,5
2018132,6
4750385,5
7389653,2
4829600,5
5870369,6
1664193,5
5738994,5
3891124,2
4956977,6
2280455,5
5442145,5
9690915,5
2879482,5
1676804,5
1413694,7
9095217,4
3440394,5
7639903,5
7843616,5
8658882,2
1129960,5
2195886,6
4147033,5
7484224,5
1053494,5
5054202,5
7522183,5
9272428,7
2668629,5
6887862,5
2408222,5
6827205,3
5479278,5
7293700,5
6211646,5
2287562,5
9906740,5
6712888,3
7215367,5
4619709,2
4991295,5
8862316,2
1405780,2
2823054,5
6666497,5
8970659,6
5808184,5
5629721,6
1354971,5
7028838,5
6628173,5
2450232,2
1158974,5
3553918,5
7451075,5
6551842,5
2712784,5
6403752,5
2917990,5
2290191,3
2806364,5
2547943,5
1106746,5
9535518,5
5828115,2
3576888,5
1261876,5
6435719,6
1906946,5
4965840,5
9299909,2
1472878,2
1754200,5
4550812,5
6195783,5
1827020,5
1143355,5
7463157,6
6548879,5
3315170,5
7683859,5
8096711,7
6037264,5
3882846,5
5924179,5
5703892,5
1145961,5
2437167,5
1280772,5
2527454,5
6522603,5
8349253,5
8041643,5
2504295,2
3880218,8
9117275,5
2941924,2
2318131,5
4759027,5
3193576,5
6501833,5
2086725,5
1741042,5
9227318,5
2159580,2
4113682,5
8022158,2
8762907,2
9452509,5
8942397,5
1349385,5
8647776,5
1693664,5
1006766,6
6504706,5
1175738,5
3112039,2
3651976,5
8932144,5
3136993,5
4370183,5
4669473,5
5221252,5
8266878,5
3586170,5
2713847,5
8937390,2
2461650,5
6694423,5
9887579,5
